Date;Price;Open;High;Low
Nov 27, 2019;6973.1;7198.3;7227.4;6880.0
Nov 26, 2019;7198.3;7162.8;7384.7;7061.2
Nov 25, 2019;7168.0;6965.2;7413.6;6619.4
Nov 24, 2019;6965.3;7352.7;7372.0;6922.0
Nov 23, 2019;7352.6;7318.6;7385.0;7141.0
Nov 22, 2019;7323.0;7672.5;7763.3;6820.1
Nov 21, 2019;7671.1;8126.4;8155.9;7510.1
Nov 20, 2019;8126.4;8164.9;8255.0;8081.0
Nov 19, 2019;8164.9;8219.5;8241.9;8055.2
Nov 18, 2019;8219.5;8536.7;8536.8;8119.0
Nov 17, 2019;8537.3;8523.4;8662.9;8422.0
Nov 16, 2019;8523.5;8494.8;8553.1;8442.7
Nov 15, 2019;8495.8;8655.5;8798.1;8420.2
Nov 14, 2019;8655.7;8800.9;8817.4;8601.4
Nov 13, 2019;8801.1;8830.0;8849.3;8730.3
Nov 12, 2019;8830.0;8737.7;8891.5;8602.1
Nov 11, 2019;8737.7;9069.7;9107.3;8633.4
Nov 10, 2019;9068.4;8827.1;9156.9;8764.0
Nov 09, 2019;8828.0;8782.3;8891.4;8735.9
Nov 08, 2019;8782.4;9209.2;9252.4;8688.1
Nov 07, 2019;9208.0;9355.0;9387.1;9086.5
Nov 06, 2019;9353.0;9334.0;9475.0;9278.0
Nov 05, 2019;9333.9;9440.0;9504.1;9200.0
Nov 04, 2019;9441.2;9223.0;9621.8;9152.0
Nov 03, 2019;9222.4;9332.2;9400.6;9100.0
Nov 02, 2019;9332.1;9288.4;9429.4;9251.8
Nov 01, 2019;9289.1;9185.6;9332.1;9087.4
Oct 31, 2019;9185.6;9184.4;9460.7;8984.8
Oct 30, 2019;9184.3;9445.5;9446.9;9035.0
Oct 29, 2019;9445.5;9229.2;9558.3;9101.3
Oct 28, 2019;9225.7;9574.1;9948.0;9216.8
Oct 27, 2019;9571.8;9270.9;9815.6;9121.6
Oct 26, 2019;9270.9;8679.3;10464.1;8662.9
Oct 25, 2019;8679.1;7453.0;8800.0;7426.0
Oct 24, 2019;7453.0;7493.6;7529.0;7372.0
Oct 23, 2019;7493.7;8053.7;8074.5;7341.5
Oct 22, 2019;8058.9;8242.2;8332.2;8037.1
Oct 21, 2019;8243.9;8260.7;8371.3;8181.8
Oct 20, 2019;8260.6;7993.0;8335.6;7922.0
Oct 19, 2019;7992.9;7987.3;8117.0;7927.0
Oct 18, 2019;7987.2;8092.4;8135.1;7860.0
Oct 17, 2019;8092.3;8016.1;8144.9;7949.3
Oct 16, 2019;8016.0;8191.0;8203.2;7960.0
Oct 15, 2019;8191.1;8370.0;8433.7;8123.6
Oct 14, 2019;8370.0;8304.9;8423.5;8230.1
Oct 13, 2019;8305.7;8319.6;8477.4;8179.3
Oct 12, 2019;8318.3;8278.2;8421.0;8272.5
Oct 11, 2019;8280.0;8596.0;8815.2;8253.0
Oct 10, 2019;8596.0;8610.4;8682.8;8472.0
Oct 09, 2019;8607.5;8205.0;8717.9;8146.6
Oct 08, 2019;8211.2;8234.6;8362.0;8132.8
Oct 07, 2019;8227.0;7886.2;8342.0;7794.9
Oct 06, 2019;7883.1;8162.5;8183.1;7807.1
Oct 05, 2019;8162.5;8170.1;8210.7;8040.0
Oct 04, 2019;8170.0;8260.5;8264.9;8040.0
Oct 03, 2019;8257.9;8414.9;8440.0;8100.7
Oct 02, 2019;8413.4;8333.7;8419.9;8193.5
Oct 01, 2019;8334.9;8331.1;8539.0;8228.0
Sep 30, 2019;8331.1;8090.1;8384.0;7753.0
Sep 29, 2019;8090.0;8238.2;8260.2;7930.7
Sep 28, 2019;8238.6;8215.3;8354.7;8047.9
Sep 27, 2019;8213.4;8105.9;8296.5;7906.3
Sep 26, 2019;8103.6;8475.3;8489.9;7800.1
Sep 25, 2019;8474.7;8535.0;8770.0;8266.1
Sep 24, 2019;8547.9;9702.6;9788.1;8110.1
Sep 23, 2019;9702.6;10055.0;10077.0;9627.5
Sep 22, 2019;10052.0;10012.0;10105.0;9881.4
Sep 21, 2019;10013.0;10197.0;10199.0;9958.1
Sep 20, 2019;10198.0;10303.0;10340.0;10105.0
Sep 19, 2019;10301.0;10185.0;10417.0;9655.0
Sep 18, 2019;10185.0;10214.1;10278.0;10111.0
Sep 17, 2019;10214.1;10290.0;10308.0;10171.0
Sep 16, 2019;10295.0;10321.0;10399.0;10100.0
Sep 15, 2019;10322.0;10381.0;10402.0;10287.0
Sep 14, 2019;10379.0;10374.0;10478.0;10256.0
Sep 13, 2019;10374.0;10452.0;10475.0;10170.0
Sep 12, 2019;10452.0;10174.2;10488.0;10065.1
Sep 11, 2019;10175.0;10121.0;10297.0;9866.5
Sep 10, 2019;10122.0;10317.0;10399.0;9961.7
Sep 09, 2019;10318.0;10417.0;10542.0;10118.6
Sep 08, 2019;10415.0;10489.0;10599.0;10257.0
Sep 07, 2019;10488.0;10305.0;10581.0;10305.0
Sep 06, 2019;10317.0;10582.9;10933.0;10218.0
Sep 05, 2019;10578.7;10593.0;10663.0;10483.0
Sep 04, 2019;10590.0;10642.0;10841.2;10411.0
Sep 03, 2019;10641.0;10401.0;10766.0;10300.0
Sep 02, 2019;10388.0;9783.0;10473.0;9754.9
Sep 01, 2019;9779.1;9623.9;9858.0;9560.1
Aug 31, 2019;9623.9;9600.7;9710.2;9472.1
Aug 30, 2019;9601.0;9509.4;9710.0;9384.3
Aug 29, 2019;9509.0;9727.3;9727.3;9360.4
Aug 28, 2019;9727.4;10190.0;10303.0;9585.3
Aug 27, 2019;10184.0;10376.2;10392.0;10036.9
Aug 26, 2019;10377.0;10144.0;10654.0;10144.0
Aug 25, 2019;10132.0;10162.0;10349.0;9881.1
Aug 24, 2019;10152.0;10414.0;10427.0;9900.0
Aug 23, 2019;10408.0;10117.0;10461.0;10063.0
Aug 22, 2019;10117.0;10147.0;10247.0;9790.0
Aug 21, 2019;10146.0;10795.0;10825.0;9880.0
Aug 20, 2019;10793.0;10947.0;10986.0;10588.0
Aug 19, 2019;10937.0;10329.0;10960.0;10280.0
Aug 18, 2019;10327.0;10230.0;10529.0;10086.0
Aug 17, 2019;10228.0;10372.0;10487.0;10004.1
Aug 16, 2019;10366.0;10324.0;10568.0;9783.4
Aug 15, 2019;10327.0;10067.0;10470.0;9522.5
Aug 14, 2019;10067.0;10904.0;10909.0;9980.0
Aug 13, 2019;10904.0;11411.0;11468.0;10801.0
Aug 12, 2019;11404.0;11577.0;11578.8;11272.0
Aug 11, 2019;11586.0;11308.0;11594.0;11158.0
Aug 10, 2019;11314.0;11892.0;12003.0;11263.0
Aug 09, 2019;11893.0;12051.0;12092.7;11711.0
Aug 08, 2019;12060.0;11999.0;12126.0;11570.0
Aug 07, 2019;11997.0;11472.0;12122.0;11386.0
Aug 06, 2019;11471.2;11824.0;12307.0;11268.0
Aug 05, 2019;11808.0;10974.0;11938.0;10973.0
